TDP,V_air,k_tim,T_ambient,s_f,Re,Nu,h_conv,flow_regime,A_fin,A_base_convection,A_total,R_conv,R_tim,R_hs,R_total,T_j
30.0,0.5,1.0,25.0,0.00115254237288135,36.70517111,1.625509856,18.47583188,laminar,0.264703728813559,0.00612,0.270823728813559,0.199852361731308,0.0423280423280423,0.242180404059351,0.442180404059351,38.26541212
30.0,0.5,2.0,25.0,0.00115254237288135,36.70517111,1.625509856,18.47583188,laminar,0.264703728813559,0.00612,0.270823728813559,0.199852361731308,0.0211640211640211,0.22101638289533,0.42101638289533,37.63049149
30.0,0.5,3.0,25.0,0.00115254237288135,36.70517111,1.625509856,18.47583188,laminar,0.264703728813559,0.00612,0.270823728813559,0.199852361731308,0.0141093474426807,0.213961709173989,0.413961709173989,37.41885128
30.0,0.5,4.0,25.0,0.00115254237288135,36.70517111,1.625509856,18.47583188,laminar,0.264703728813559,0.00612,0.270823728813559,0.199852361731308,0.0105820105820105,0.210434372313319,0.410434372313319,37.31303117
30.0,0.5,5.0,25.0,0.00115254237288135,36.70517111,1.625509856,18.47583188,laminar,0.264703728813559,0.00612,0.270823728813559,0.199852361731308,0.00846560846560846,0.208317970196917,0.408317970196917,37.24953911
30.0,0.5,6.0,25.0,0.00115254237288135,36.70517111,1.625509856,18.47583188,laminar,0.264703728813559,0.00612,0.270823728813559,0.199852361731308,0.00705467372134038,0.206907035452649,0.406907035452649,37.20721106
30.0,0.5,7.0,25.0,0.00115254237288135,36.70517111,1.625509856,18.47583188,laminar,0.264703728813559,0.00612,0.270823728813559,0.199852361731308,0.00604686318972033,0.205899224921029,0.405899224921029,37.17697675
30.0,0.5,8.0,25.0,0.00115254237288135,36.70517111,1.625509856,18.47583188,laminar,0.264703728813559,0.00612,0.270823728813559,0.199852361731308,0.00529100529100529,0.205143367022314,0.405143367022314,37.15430101
30.0,0.5,9.0,25.0,0.00115254237288135,36.70517111,1.625509856,18.47583188,laminar,0.264703728813559,0.00612,0.270823728813559,0.199852361731308,0.00470311581422692,0.204555477545535,0.404555477545535,37.13666433
30.0,0.5,10.0,25.0,0.00115254237288135,36.70517111,1.625509856,18.47583188,laminar,0.264703728813559,0.00612,0.270823728813559,0.199852361731308,0.00423280423280423,0.204085165964113,0.404085165964113,37.12255498
30.0,0.5,11.0,25.0,0.00115254237288135,36.70517111,1.625509856,18.47583188,laminar,0.264703728813559,0.00612,0.270823728813559,0.199852361731308,0.00384800384800384,0.203700365579312,0.403700365579312,37.11101097
30.0,0.5,12.0,25.0,0.00115254237288135,36.70517111,1.625509856,18.47583188,laminar,0.264703728813559,0.00612,0.270823728813559,0.199852361731308,0.00352733686067019,0.203379698591979,0.403379698591979,37.10139096
30.0,1.0,1.0,25.0,0.00115254237288135,73.41034222,2.048014085,23.2780895,laminar,0.264703728813559,0.00612,0.270823728813559,0.158622924625304,0.0423280423280423,0.200950966953346,0.400950966953346,37.02852901
30.0,1.0,2.0,25.0,0.00115254237288135,73.41034222,2.048014085,23.2780895,laminar,0.264703728813559,0.00612,0.270823728813559,0.158622924625304,0.0211640211640211,0.179786945789325,0.379786945789325,36.39360837
