TDP,V_air,k_tim,T_ambient,s_f,Re,Nu,h_conv,flow_regime,A_fin,A_base_convection,A_total,R_conv,R_tim,R_hs,R_total,T_j
30.0,0.5,1.0,25.0,0.001152542372881356,36.70517111087122,1.6255098564016421,18.475831882541605,laminar,0.2647037288135593,0.00612,0.2708237288135593,0.1998523617313089,0.04232804232804233,0.24218040405935123,0.4421804040593512,38.265412121780535
30.0,0.5,2.0,25.0,0.001152542372881356,36.70517111087122,1.6255098564016421,18.475831882541605,laminar,0.2647037288135593,0.00612,0.2708237288135593,0.1998523617313089,0.021164021164021166,0.22101638289533007,0.42101638289533005,37.6304914868599
30.0,0.5,3.0,25.0,0.001152542372881356,36.70517111087122,1.6255098564016421,18.475831882541605,laminar,0.2647037288135593,0.00612,0.2708237288135593,0.1998523617313089,0.014109347442680777,0.21396170917398968,0.41396170917398967,37.418851275219694
30.0,0.5,4.0,25.0,0.001152542372881356,36.70517111087122,1.6255098564016421,18.475831882541605,laminar,0.2647037288135593,0.00612,0.2708237288135593,0.1998523617313089,0.010582010582010583,0.2104343723133195,0.4104343723133195,37.313031169399586
30.0,0.5,5.0,25.0,0.001152542372881356,36.70517111087122,1.6255098564016421,18.475831882541605,laminar,0.2647037288135593,0.00612,0.2708237288135593,0.1998523617313089,0.008465608465608466,0.20831797019691736,0.4083179701969174,37.24953910590752
30.0,0.5,6.0,25.0,0.001152542372881356,36.70517111087122,1.6255098564016421,18.475831882541605,laminar,0.2647037288135593,0.00612,0.2708237288135593,0.1998523617313089,0.0070546737213403885,0.2069070354526493,0.4069070354526493,37.20721106357948
30.0,0.5,7.0,25.0,0.001152542372881356,36.70517111087122,1.6255098564016421,18.475831882541605,laminar,0.2647037288135593,0.00612,0.2708237288135593,0.1998523617313089,0.006046863189720333,0.20589922492102924,0.40589922492102926,37.176976747630874
30.0,0.5,8.0,25.0,0.001152542372881356,36.70517111087122,1.6255098564016421,18.475831882541605,laminar,0.2647037288135593,0.00612,0.2708237288135593,0.1998523617313089,0.005291005291005292,0.2051433670223142,0.40514336702231424,37.15430101066943
30.0,0.5,9.0,25.0,0.001152542372881356,36.70517111087122,1.6255098564016421,18.475831882541605,laminar,0.2647037288135593,0.00612,0.2708237288135593,0.1998523617313089,0.004703115814226925,0.20455547754553582,0.40455547754553584,37.13666432636607
30.0,0.5,10.0,25.0,0.001152542372881356,36.70517111087122,1.6255098564016421,18.475831882541605,laminar,0.2647037288135593,0.00612,0.2708237288135593,0.1998523617313089,0.004232804232804233,0.20408516596411314,0.40408516596411315,37.1225549789234
30.0,0.5,11.0,25.0,0.001152542372881356,36.70517111087122,1.6255098564016421,18.475831882541605,laminar,0.2647037288135593,0.00612,0.2708237288135593,0.1998523617313089,0.003848003848003848,0.20370036557931276,0.40370036557931277,37.111010967379386
30.0,0.5,12.0,25.0,0.001152542372881356,36.70517111087122,1.6255098564016421,18.475831882541605,laminar,0.2647037288135593,0.00612,0.2708237288135593,0.1998523617313089,0.0035273368606701942,0.2033796985919791,0.4033796985919791,37.10139095775937
30.0,1.0,1.0,25.0,0.001152542372881356,73.41034222174244,2.048014084892021,23.278089503132986,laminar,0.2647037288135593,0.00612,0.2708237288135593,0.1586229246253045,0.04232804232804233,0.20095096695334683,0.40095096695334687,37.02852900860041
30.0,1.0,2.0,25.0,0.001152542372881356,73.41034222174244,2.048014084892021,23.278089503132986,laminar,0.2647037288135593,0.00612,0.2708237288135593,0.1586229246253045,0.021164021164021166,0.17978694578932566,0.3797869457893257,36.39360837367977
30.0,1.0,3.0,25.0,0.001152542372881356,73.41034222174244,2.048014084892021,23.278089503132986,laminar,0.2647037288135593,0.00612,0.2708237288135593,0.1586229246253045,0.014109347442680777,0.17273227206798528,0.3727322720679853,36.18196816203956
30.0,1.0,4.0,25.0,0.001152542372881356,73.41034222174244,2.048014084892021,23.278089503132986,laminar,0.2647037288135593,0.00612,0.2708237288135593,0.1586229246253045,0.010582010582010583,0.16920493520731508,0.3692049352073151,36.07614805621945
30.0,1.0,5.0,25.0,0.001152542372881356,73.41034222174244,2.048014084892021,23.278089503132986,laminar,0.2647037288135593,0.00612,0.2708237288135593,0.1586229246253045,0.008465608465608466,0.16708853309091296,0.36708853309091294,36.01265599272739
30.0,1.0,6.0,25.0,0.001152542372881356,73.41034222174244,2.048014084892021,23.278089503132986,laminar,0.2647037288135593,0.00612,0.2708237288135593,0.1586229246253045,0.0070546737213403885,0.1656775983466449,0.3656775983466449,35.97032795039935
